Day,Train No.,Org stn,Sign on,Dept time,Dest stn,Arr time,Sign off,Travel time,Duty time,NDH,Rest time
Su,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'27:45
After working duty number 22 the crew will pick up duty number 16,,,,,,,,,,,
Duty 23 -,,,,,,,,,,,
M,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'28:10
Tu,22221,CSMT,15:30,16:00,JL,20:58,21:28,4:58,5:58,0:00,'7:57
W,22222,JL,5:25,5:55,CSMT,11:15,11:45,5:20,6:20,0:35,'33:45
Th,18029,LTT,21:30,22:00,IGP,0:40,1:10,2:40,3:40,3:10,'16:45
F,12860,IGP,17:55,18:25,CSMT,21:20,21:50,2:55,3:55,0:00,'23:40
Sa,18029,LTT,21:30,22:00,IGP,0:40,1:10,2:40,3:40,3:10,'16:45
Su,12860,IGP,17:55,18:25,CSMT,21:20,21:50,2:55,3:55,0:00,'22:00
Duty 24 -,,,,,,,,,,,
M,17411,CSMT,19:50,20:20,PUNE,0:10,0:40,3:50,4:50,2:40,'6:20
Tu,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'31:35
W,12163,LTT,18:15,18:45,PUNE,22:10,22:40,3:25,4:25,0:40,'8:20
Th,12124(P),PUNE,7:00,7:15,CSMT,10:25,10:40,3:10,3:40,0:00,'27:45
F,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
Sa,13201,IGP,7:15,7:45,LTT,10:50,11:20,3:05,4:05,0:00,'23:5
Su,11055,LTT,10:25,10:55,IGP,13:45,14:15,2:50,3:50,0:00,'6:40
Su,11058,IGP,20:55,21:25,CSMT,0:05,0:35,2:40,3:40,2:35,'20:55
Duty 25 -,,,,,,,,,,,
M,18029,LTT,21:30,22:00,IGP,0:40,1:10,2:40,3:40,3:10,'16:45
Tu,12860,IGP,17:55,18:25,CSMT,21:20,21:50,2:55,3:55,0:00,'17:40
W,22221,CSMT,15:30,16:00,JL,20:58,21:28,4:58,5:58,0:00,'7:57
Th,22222,JL,5:25,5:55,CSMT,11:15,11:45,5:20,6:20,0:35,'33:5
F,11139,CSMT,20:50,21:20,PUNE,1:10,1:40,3:50,4:50,3:40,'23:50
Su,22158,PUNE,1:30,2:00,CSMT,5:50,6:20,3:50,4:50,4:30,'25:50
Duty 26 -,,,,,,,,,,,
M,12534(P),CSMT,8:10,8:25,IGP,11:00,11:15,2:35,3:05,0:00,'7:35
M,17618,IGP,18:50,19:20,CSMT,21:55,22:25,2:35,3:35,0:25,'22:25
Tu,11139,CSMT,20:50,21:20,PUNE,1:10,1:40,3:50,4:50,3:40,'23:50
Th,22158,PUNE,1:30,2:00,CSMT,5:50,6:20,3:50,4:50,4:30,'16:5
Th,22157,CSMT,22:25,22:55,PUNE,2:55,3:25,4:00,5:00,5:00,'24:20
Sa,22108,PUNE,3:45,4:15,CSMT,7:55,8:25,3:40,4:40,2:15,'30:0
Su,13202,LTT,14:25,14:55,IGP,17:25,17:55,2:30,3:30,0:00,'13:20
After working duty number 26 the crew will pick up duty number 23,,,,,,,,,,,
 ,Summary,,,,,,,,,,
Duty no., Total Duty hours, Total Rest hours, Total NDH,,,,,,,,
Duty 1,30:40:00,142:15:00,4:00,,,,,,,,
Duty 2,30:25:00,122:20:00,15:50,,,,,,,,
Duty 3,30:25:00,146:30:00,7:15,,,,,,,,
Duty 4,32:15:00,128:15:00,10:00,,,,,,,,
Duty 5,31:58:00,134:27:00,4:10,,,,,,,,
Duty 6,31:50:00,146:15:00,8:35,,,,,,,,
Duty 7,32:18:00,145:42:00,10:35,,,,,,,,
Duty 8,33:28:00,127:17:00,12:45,,,,,,,,
Duty 9,29:15:00,124:25:00,1:45,,,,,,,,
Duty 10,30:50:00,140:15:00,10:20,,,,,,,,
Duty 11,28:25:00,143:00:00,12:50,,,,,,,,
Duty 12,29:45:00,131:35:00,18:55,,,,,,,,
Duty 13,31:15:00,144:40:00,3:45,,,,,,,,
Duty 14,29:30:00,146:35:00,7:50,,,,,,,,
Duty 15,29:25:00,134:45:00,4:45,,,,,,,,
Duty 16,33:35:00,147:45:00,12:10,,,,,,,,
Duty 17,28:28:00,113:17:00,6:55,,,,,,,,
Duty 18,33:55:00,155:00:00,12:20,,,,,,,,
Duty 19,32:18:00,131:12:00,11:25,,,,,,,,
Duty 20,31:00:00,141:55:00,7:10,,,,,,,,
Duty 21,30:25:00,126:10:00,21:35,,,,,,,,
Duty 22,30:45:00,140:15:00,8:15,,,,,,,,
Duty 23,31:33:00,149:02:00,6:55,,,,,,,,
Duty 24,31:40:00,138:00:00,5:55,,,,,,,,
Duty 25,29:33:00,125:07:00,11:55,,,,,,,,
Duty 26,29:30:00,137:35:00,15:50,,,,,,,,
